seed,case,mode,mutant,strategy,detected,durationMs,reportedFuzzRuns,firstFailureRun
12,pages,boundaries,true,4,true,22.911902000000737,30,31
12,pages,jev,false,2,false,23.183154000000286,256,
12,pages,jev,true,2,true,22.662170999999944,5,6
12,cursor,broad,false,0,false,26.55133299999943,256,
12,cursor,broad,true,0,false,25.028733000000102,256,
12,cursor,boundaries,false,4,false,24.18042400000013,256,
12,cursor,boundaries,true,4,true,23.811296999999286,159,160
12,cursor,jev,false,2,false,23.097491999999875,256,
12,cursor,jev,true,2,true,21.97067799999968,66,67
13,clamp,boundaries,false,4,false,23.071412999999666,256,
13,clamp,boundaries,true,4,true,22.72056100000009,69,70
13,clamp,jev,false,2,false,23.191678999999567,256,
13,clamp,jev,true,2,true,24.278409000000465,51,52
13,clamp,broad,false,0,false,23.848737999999685,256,
13,clamp,broad,true,0,false,22.40469700000085,256,
13,pages,boundaries,false,4,false,22.64201299999968,256,
13,pages,boundaries,true,4,true,22.94652799999949,19,20
13,pages,jev,false,2,false,23.85084199999983,256,
13,pages,jev,true,2,true,24.902906000000257,7,8
13,pages,broad,false,0,false,24.606286000000182,256,
13,pages,broad,true,0,false,22.684924999999566,256,
13,cursor,boundaries,false,4,false,26.05947500000002,256,
13,cursor,boundaries,true,4,true,21.491915999999947,69,70
13,cursor,jev,false,2,false,23.66496200000074,256,
13,cursor,jev,true,2,true,24.442516999999498,51,52
13,cursor,broad,false,0,false,26.802327000000332,256,
13,cursor,broad,true,0,false,24.003590999999687,256,
14,clamp,jev,false,2,false,24.27292800000032,256,
14,clamp,jev,true,2,true,22.733295,15,16
14,clamp,broad,false,0,false,22.562614000000394,256,
14,clamp,broad,true,0,false,23.4617989999997,256,
14,clamp,boundaries,false,4,false,24.267759000000297,256,
14,clamp,boundaries,true,4,true,27.948847999999998,131,132
14,pages,jev,false,2,false,25.558461999999963,256,
14,pages,jev,true,2,true,23.064609999999448,20,21
14,pages,broad,false,0,false,23.449415999999474,256,
14,pages,broad,true,0,false,22.819948999999724,256,
14,pages,boundaries,false,4,false,24.54691500000081,256,
14,pages,boundaries,true,4,true,22.819647999999688,20,21
14,cursor,jev,false,2,false,23.105908999999883,256,
14,cursor,jev,true,2,true,23.23166500000025,15,16
14,cursor,broad,false,0,false,24.800674000000072,256,
14,cursor,broad,true,0,false,23.28546600000027,256,
14,cursor,boundaries,false,4,false,22.52490299999954,256,
14,cursor,boundaries,true,4,true,23.63770099999965,158,159
15,clamp,broad,false,0,false,24.51532599999973,256,
15,clamp,broad,true,0,false,21.49866800000018,256,
15,clamp,boundaries,false,4,false,23.172363000000587,256,
15,clamp,boundaries,true,4,true,24.58384399999977,155,156
15,clamp,jev,false,2,false,26.54130400000031,256,
15,clamp,jev,true,2,true,23.2147130000003,55,56
15,pages,broad,false,0,false,24.02603199999976,256,
15,pages,broad,true,0,true,25.810496999999486,251,252
15,pages,boundaries,false,4,false,25.10574799999995,256,
15,pages,boundaries,true,4,true,23.260419000000184,16,17
15,pages,jev,false,2,false,23.41500999999971,256,
15,pages,jev,true,2,true,23.10656999999992,16,17
15,cursor,broad,false,0,false,38.16034799999943,256,
15,cursor,broad,true,0,false,25.96355500000027,256,
15,cursor,boundaries,false,4,false,29.925594999999703,256,
15,cursor,boundaries,true,4,true,23.9981200000002,155,156
15,cursor,jev,false,2,false,25.519687999999405,256,
15,cursor,jev,true,2,true,24.684473999999682,23,24
16,clamp,boundaries,false,4,false,23.84461100000044,256,
16,clamp,boundaries,true,4,true,24.37773500000003,7,8
16,clamp,jev,false,2,false,25.082405000000108,256,
16,clamp,jev,true,2,true,23.59893700000066,7,8
16,clamp,broad,false,0,false,25.29488500000025,256,
16,clamp,broad,true,0,false,23.87935599999946,256,
16,pages,boundaries,false,4,false,24.700714999999946,256,
16,pages,boundaries,true,4,true,22.04048899999998,12,13
16,pages,jev,false,2,false,23.2110160000002,256,
16,pages,jev,true,2,true,21.64141699999982,0,1
16,pages,broad,false,0,false,24.61689699999988,256,
16,pages,broad,true,0,false,22.708638999999494,256,
16,cursor,boundaries,false,4,false,23.08247399999982,256,
16,cursor,boundaries,true,4,true,23.18579900000077,7,8
16,cursor,jev,false,2,false,23.74578400000064,256,
16,cursor,jev,true,2,true,28.733918000000813,7,8
16,cursor,broad,false,0,false,26.834828000000016,256,
16,cursor,broad,true,0,false,25.442473000000064,256,
17,clamp,jev,false,2,false,24.436407000000145,256,
17,clamp,jev,true,2,true,22.68664700000045,75,76
17,clamp,broad,false,0,false,23.425820999999814,256,
17,clamp,broad,true,0,true,23.711018000000877,152,153
17,clamp,boundaries,false,4,false,23.10948499999995,256,
17,clamp,boundaries,true,4,true,23.332805999999437,153,154
17,pages,jev,false,2,false,24.43653699999959,256,
17,pages,jev,true,2,true,22.981784000000516,3,4
17,pages,broad,false,0,false,23.024054000000433,256,
17,pages,broad,true,0,false,24.59248100000059,256,
17,pages,boundaries,false,4,false,23.634783999999854,256,
17,pages,boundaries,true,4,true,22.102316999999857,3,4
17,cursor,jev,false,2,false,24.216942999999446,256,
17,cursor,jev,true,2,true,22.774795000000267,80,81
17,cursor,broad,false,0,false,21.731477000000268,256,
17,cursor,broad,true,0,true,23.280297000000246,152,153
17,cursor,boundaries,false,4,false,22.493884000000435,256,
17,cursor,boundaries,true,4,true,22.972337000000152,153,154
18,clamp,broad,false,0,false,25.037679000000026,256,
18,clamp,broad,true,0,true,22.00742799999989,131,132
18,clamp,boundaries,false,4,false,23.773936999999933,256,
18,clamp,boundaries,true,4,true,23.241503999999622,17,18
18,clamp,jev,false,2,false,22.892444999999498,256,
18,clamp,jev,true,2,true,22.826532000000043,17,18
18,pages,broad,false,0,false,22.403975000000173,256,
18,pages,broad,true,0,false,23.77023999999983,256,
18,pages,boundaries,false,4,false,24.556754000000183,256,
18,pages,boundaries,true,4,true,22.210809999999583,32,33
18,pages,jev,false,2,false,24.6890429999994,256,
18,pages,jev,true,2,true,23.361770000000433,3,4
18,cursor,broad,false,0,false,23.6865429999998,256,
